Threshold,XGBoost_NB,XGBoost_NB_lo,XGBoost_NB_hi,Age+IDH1_NB,Age+IDH1_NB_lo,Age+IDH1_NB_hi,TreatAll_NB,TreatNone_NB
0.29,0.3469,0.3056,0.3877,0.3386,0.2957,0.3803,0.1823,0.0
0.3,0.3448,0.3032,0.3857,0.336,0.2927,0.3778,0.1706,0.0
0.31,0.3433,0.3011,0.3851,0.334,0.2909,0.3763,0.1586,0.0
0.32,0.3425,0.3006,0.3849,0.3313,0.2879,0.3739,0.1462,0.0
0.33,0.3388,0.2971,0.3812,0.3286,0.2847,0.3717,0.1334,0.0
0.34,0.3365,0.2944,0.3793,0.3257,0.2815,0.3693,0.1203,0.0
0.35,0.3342,0.2918,0.377,0.3227,0.2784,0.3668,0.1068,0.0
0.36,0.3318,0.2891,0.3744,0.319,0.2731,0.3624,0.0928,0.0
0.37,0.3293,0.2862,0.372,0.3153,0.2702,0.3592,0.0784,0.0
0.38,0.3268,0.2833,0.3701,0.3121,0.267,0.3566,0.0636,0.0
0.39,0.3226,0.2792,0.3667,0.3074,0.2609,0.3521,0.0482,0.0
0.4,0.3224,0.2796,0.3662,0.305,0.2587,0.3493,0.0323,0.0
0.41,0.3197,0.2764,0.3638,0.3026,0.2556,0.3476,0.0159,0.0
0.42,0.3181,0.2749,0.3623,0.2975,0.2505,0.3429,-0.001,0.0
0.43,0.3175,0.2742,0.362,0.2939,0.2464,0.3399,-0.0186,0.0
0.44,0.3144,0.2708,0.3591,0.2901,0.2421,0.3368,-0.0368,0.0
0.45,0.3115,0.2673,0.3564,0.2862,0.2373,0.3334,-0.0556,0.0
0.46,0.3056,0.2607,0.3507,0.2821,0.2329,0.3294,-0.0752,0.0
0.47,0.3008,0.2558,0.3465,0.2832,0.2334,0.3315,-0.0955,0.0
0.48,0.2991,0.2527,0.3452,0.2804,0.2305,0.3296,-0.1165,0.0
0.49,0.2973,0.2502,0.3441,0.2761,0.2251,0.3261,-0.1384,0.0
0.5,0.294,0.2463,0.3403,0.2731,0.2209,0.3239,-0.1612,0.0
0.51,0.2892,0.2409,0.3373,0.2717,0.2205,0.3217,-0.1849,0.0
0.52,0.2827,0.234,0.3316,0.2657,0.2136,0.3169,-0.2096,0.0
0.53,0.2776,0.2291,0.3266,0.2596,0.206,0.3119,-0.2353,0.0
0.54,0.2723,0.2234,0.3214,0.2532,0.1983,0.3061,-0.2622,0.0
0.55,0.2668,0.2174,0.3183,0.2484,0.1932,0.3023,-0.2902,0.0
0.56,0.2612,0.2114,0.3126,0.2357,0.1802,0.2875,-0.3195,0.0
0.57,0.2554,0.2052,0.307,0.2361,0.1811,0.2894,-0.3502,0.0
0.58,0.252,0.2011,0.3054,0.2311,0.1751,0.2874,-0.3824,0.0
0.59,0.2465,0.1952,0.2974,0.2276,0.1696,0.2842,-0.4161,0.0
0.6,0.2463,0.194,0.2978,0.2224,0.1634,0.2791,-0.4515,0.0
0.61,0.2415,0.1883,0.2937,0.2186,0.159,0.2761,-0.4887,0.0
0.62,0.2329,0.1799,0.2858,0.2108,0.1509,0.27,-0.5279,0.0
0.63,0.2283,0.1745,0.2823,0.2026,0.1406,0.262,-0.5692,0.0
0.64,0.2197,0.1671,0.2751,0.1967,0.1318,0.2579,-0.6128,0.0
0.65,0.2096,0.1561,0.265,0.193,0.1286,0.2533,-0.6588,0.0
0.66,0.2025,0.1491,0.2586,0.1841,0.1198,0.246,-0.7076,0.0
0.67,0.192,0.1363,0.2477,0.172,0.1056,0.235,-0.7594,0.0
0.68,0.2052,0.1513,0.2601,0.1662,0.1011,0.2284,-0.8144,0.0
0.69,0.2001,0.1461,0.2544,0.1589,0.0937,0.2215,-0.8729,0.0
0.7,0.1846,0.1318,0.2398,0.1418,0.0756,0.205,-0.9353,0.0
0.71,0.166,0.1119,0.2216,0.135,0.0677,0.1988,-1.0021,0.0
0.72,0.1554,0.0991,0.2128,0.1198,0.049,0.187,-1.0736,0.0
0.73,0.1521,0.0961,0.2087,0.1126,0.0443,0.1792,-1.1504,0.0
0.74,0.1467,0.0921,0.2033,0.099,0.0303,0.1689,-1.2331,0.0
0.75,0.1522,0.097,0.209,0.094,0.0313,0.1597,-1.3224,0.0
0.76,0.15,0.0933,0.2035,0.0965,0.0313,0.16,-1.4192,0.0
0.77,0.1433,0.0864,0.1987,0.1024,0.0355,0.1628,-1.5243,0.0
0.78,0.1323,0.0746,0.1867,0.0925,0.0331,0.1475,-1.6391,0.0
0.79,0.1228,0.0619,0.1803,0.0791,0.0174,0.1363,-1.7647,0.0
0.8,0.1194,0.0597,0.1776,0.0806,0.0283,0.1328,-1.903,0.0
0.81,0.1008,0.036,0.1628,0.0766,0.022,0.1293,-2.0558,0.0
0.82,0.095,0.0312,0.1546,0.0738,0.024,0.1227,-2.2255,0.0
0.83,0.0788,0.0118,0.1396,0.0613,0.0139,0.1098,-2.4153,0.0
0.84,0.0709,0.0033,0.1321,0.0664,0.0227,0.1093,-2.6287,0.0
0.85,0.0716,0.0025,0.1319,0.0602,0.0189,0.0975,-2.8706,0.0
0.86,0.1047,0.0518,0.1544,0.0578,0.0243,0.0878,-3.1471,0.0
0.87,0.0978,0.0464,0.1452,0.0497,0.0233,0.0736,-3.4661,0.0
0.88,0.0935,0.0438,0.1378,0.0368,0.0104,0.0607,-3.8383,0.0
0.89,0.0771,0.0258,0.1237,0.0237,-0.0049,0.0463,-4.2782,0.0
0.9,0.0791,0.0239,0.1254,0.009,-0.0224,0.0299,-4.806,0.0
